"timestampRegister","healthData","service","availability"
"2023-09-23T08:05:32.346Z","[{""data"":[],""availability"":1}]","micro-evaluaciones",1
"2023-09-23T08:06:03.551Z","[{""data"":[],""availability"":1}]","micro-evaluaciones",1
"2023-09-23T08:06:33.573Z","[{""data"":[],""availability"":1}]","micro-evaluaciones",1
"2023-09-23T08:07:05.173Z","[{""data"":[{""timestampRegister"":1695456415491,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""7d14d9ee-829c-4673-8b76-a6fc34c21922"",""time"":""2023-09-23T08:06:55.339Z"",""type"":""health""}],""availability"":0}]","micro-evaluaciones",0
"2023-09-23T08:07:34.975Z","[{""data"":[{""timestampRegister"":1695456446979,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c9767b86-7d05-41dc-9ee2-358dfb6126aa"",""time"":""2023-09-23T08:07:26.832Z"",""type"":""health""},{""timestampRegister"":1695456436600,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c5316c4d-08d4-4b01-bc26-e7dcd711ca0d"",""time"":""2023-09-23T08:07:16.380Z"",""type"":""health""},{""timestampRegister"":1695456426103,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c33a9403-bfcc-4fb5-8db2-8dddca6f4a27"",""time"":""2023-09-23T08:07:05.879Z"",""type"":""health""},{""timestampRegister"":1695456415491,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""7d14d9ee-829c-4673-8b76-a6fc34c21922"",""time"":""2023-09-23T08:06:55.339Z"",""type"":""health""}],""availability"":-1}]","micro-evaluaciones",-1
"2023-09-23T08:08:05.972Z","[{""data"":[{""timestampRegister"":1695456457437,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""830e28e8-daca-4a97-9fd9-c0c8c4208d5e"",""time"":""2023-09-23T08:07:37.280Z"",""type"":""health""},{""timestampRegister"":1695456446979,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c9767b86-7d05-41dc-9ee2-358dfb6126aa"",""time"":""2023-09-23T08:07:26.832Z"",""type"":""health""},{""timestampRegister"":1695456436600,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c5316c4d-08d4-4b01-bc26-e7dcd711ca0d"",""time"":""2023-09-23T08:07:16.380Z"",""type"":""health""},{""timestampRegister"":1695456426103,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c33a9403-bfcc-4fb5-8db2-8dddca6f4a27"",""time"":""2023-09-23T08:07:05.879Z"",""type"":""health""},{""timestampRegister"":1695456415491,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""7d14d9ee-829c-4673-8b76-a6fc34c21922"",""time"":""2023-09-23T08:06:55.339Z"",""type"":""health""}],""availability"":-1}]","micro-evaluaciones",-1
"2023-09-23T08:08:35.773Z","[{""data"":[{""timestampRegister"":1695456457437,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""830e28e8-daca-4a97-9fd9-c0c8c4208d5e"",""time"":""2023-09-23T08:07:37.280Z"",""type"":""health""},{""timestampRegister"":1695456446979,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c9767b86-7d05-41dc-9ee2-358dfb6126aa"",""time"":""2023-09-23T08:07:26.832Z"",""type"":""health""},{""timestampRegister"":1695456436600,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c5316c4d-08d4-4b01-bc26-e7dcd711ca0d"",""time"":""2023-09-23T08:07:16.380Z"",""type"":""health""},{""timestampRegister"":1695456426103,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c33a9403-bfcc-4fb5-8db2-8dddca6f4a27"",""time"":""2023-09-23T08:07:05.879Z"",""type"":""health""},{""timestampRegister"":1695456415491,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""7d14d9ee-829c-4673-8b76-a6fc34c21922"",""time"":""2023-09-23T08:06:55.339Z"",""type"":""health""}],""availability"":-1}]","micro-evaluaciones",-1
"2023-09-23T08:09:01.776Z","[{""data"":[{""timestampRegister"":1695456457437,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""830e28e8-daca-4a97-9fd9-c0c8c4208d5e"",""time"":""2023-09-23T08:07:37.280Z"",""type"":""health""},{""timestampRegister"":1695456446979,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c9767b86-7d05-41dc-9ee2-358dfb6126aa"",""time"":""2023-09-23T08:07:26.832Z"",""type"":""health""},{""timestampRegister"":1695456436600,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c5316c4d-08d4-4b01-bc26-e7dcd711ca0d"",""time"":""2023-09-23T08:07:16.380Z"",""type"":""health""},{""timestampRegister"":1695456426103,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""c33a9403-bfcc-4fb5-8db2-8dddca6f4a27"",""time"":""2023-09-23T08:07:05.879Z"",""type"":""health""},{""timestampRegister"":1695456415491,""instance"":""instancia1"",""health"":""down"",""specversion"":""1.0"",""source"":""microservice-evaluations"",""id"":""7d14d9ee-829c-4673-8b76-a6fc34c21922"",""time"":""2023-09-23T08:06:55.339Z"",""type"":""health""}],""availability"":-1}]","micro-evaluaciones",-1
